rilevazioni.dat
#              time               pos
                 0        -0.0929785
               0.5           1.64191
                 1           3.22784
               1.5            4.8338
                 2           6.09811
               2.5           7.83226
                 3           9.31697
               3.5           11.2541
                 4           12.7612
               4.5           14.0906
                 5           16.0256
               5.5           17.7331
                 6           18.8871
               6.5           21.1133
                 7           22.4018
               7.5           24.1227
                 8           25.5435
               8.5           27.0124
                 9           29.0342
               9.5            30.442
                10           32.0283
              10.5           33.8102
                11           35.0093
              11.5           36.9141
                12           38.8383
              12.5           40.1944
                13           41.4116
              13.5           43.1439
                14            45.265
              14.5           46.6307
                15            48.333
              15.5           49.6538
                16           50.8849
              16.5            52.818
                17           54.2857
              17.5            56.218
                18           57.8339
              18.5           59.1863
                19           60.7772
              19.5           62.2851
                20           64.0872
              20.5           65.7869
                21           67.1408
              21.5           69.0692
                22           70.2878
              22.5           71.9493
                23           73.7156
              23.5           75.4277
                24           76.9074
              24.5           78.5477
